,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
0,2021 Mercedes-Benz GLE 350 Base,14023,Mercedes-Benz of Atlanta Northeast,4.8,1873,4.8,17,67769, Lunar Blue Metallic , Macchiato Beige , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1,2021 Mercedes-Benz GLA 250 Base 4MATIC,15398,Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,59,4.9,19,38954, Mountain Gray Metallic , Black , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
2,2019 Mercedes-Benz GLS 450 Base 4MATIC,12425,Mercedes-Benz of West Houston,3.7,31,5.0,10,62990, Black , Ginger Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
3,2018 Mercedes-Benz GLA 250 Base 4MATIC,45174,Mercedes-Benz of Rochester,4.7,115,4.5,63,31800, Midnight Black , Shara Beige , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
4,2021 Mercedes-Benz GLE 350 Base 4MATIC,12838,Star Motor Cars,3.9,55,4.8,17,66880, Polar White , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
5,2019 Mercedes-Benz S-Class S 560 4MATIC,25046,Mercedes-Benz of White Plains,4.9,1638,4.6,14,72060, BL , Brown , All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
6,2021 Mercedes-Benz GLE 350 Base,13803,Mercedes-Benz of Pembroke Pines,4.6,1118,4.8,17,65499, Obsidian Black Metallic , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
7,2019 Mercedes-Benz C-Class C 300 4MATIC,31984,Feldmann Imports,4.8,630,4.8,40,34954, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
8,2018 Mercedes-Benz C-Class C 300,27458,Crown Eurocars,4.9,3870,4.8,66,32988, Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
9,2019 Mercedes-Benz GLA 250 Base 4MATIC,20017,Fletcher Jones Motorcars of Fremont,4.9,1181,4.6,33,34383, Polar White , Black , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
10,2019 Mercedes-Benz GLC 350e Base 4MATIC,18235,"Mercedes-Benz Manhattan, Inc.",4.5,452,4.2,11,42811, Black , Black , All-wheel Drive ,Hybrid ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid
11,2021 Mercedes-Benz GLB 250 Base 4MATIC,13167,Ray Catena Mercedes Benz Freehold,4.7,738,4.5,9,45625, Black , Black , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
12,2020 Mercedes-Benz GLE 350 Base 4MATIC,18995,"Mercedes-Benz Manhattan, Inc.",4.5,452,4.3,75,56184, Mojave Silver Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
13,2019 Mercedes-Benz E-Class E 300,19189,Mercedes Benz of Hoffman Estates,4.7,1112,4.7,47,45999, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
14,2019 Mercedes-Benz GLS 450 Base 4MATIC,27117,Mercedes Benz of Hoffman Estates,4.7,1112,5.0,10,59999, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
15,2019 Mercedes-Benz CLA 250 Base,43453,Mercedes-Benz of El Dorado Hills,4.7,2103,4.1,17,31995, Cocoa Brown Metallic , Shara Beige , Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
16,2020 Mercedes-Benz GLE 350 Base 4MATIC,36755,Mercedes-Benz of North Haven,4.8,1231,4.3,75,60997, Selenite Gray Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
17,2019 Mercedes-Benz CLA 250 Base,18655,Mercedes-Benz of Ontario,4.9,1971,4.1,17,29981, Metallic , Black , Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
18,2020 Mercedes-Benz GLE 350 Base 4MATIC,42760,Mercedes-Benz of Chantilly,4.6,905,4.3,75,54600, Selenite Gray Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
19,2019 Mercedes-Benz GLC 350e Base 4MATIC,37654,"Mercedes-Benz Manhattan, Inc.",4.5,452,4.2,11,38817, Polar White , Saddle Brown / Black , All-wheel Drive ,Hybrid ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid
20,2019 Mercedes-Benz GLS 450 Base 4MATIC,27629,"Smith Motor Sales of Haverhill, Inc.",4.8,1355,5.0,10,59303, Lunar Blue , Ginger , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
21,2020 Mercedes-Benz GLE 350 Base 4MATIC,22238,Mercedes-Benz of Westmont,4.6,800,4.3,75,57750, Black , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
22,2018 Mercedes-Benz C-Class C 300,44966,Mercedes-Benz of Austin,4.8,1250,4.8,66,33499, Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
23,2019 Mercedes-Benz GLA 250 Base,10278,Crown Eurocars,4.9,3870,4.6,33,35988, Iridium Silver Metallic , Black , Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
24,2021 Mercedes-Benz GLE 350 Base 4MATIC,18435,Mercedes-Benz of Chicago,4.7,1168,4.8,17,69994, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
25,2020 Mercedes-Benz GLE 350 Base 4MATIC,19885,Mercedes-Benz of Littleton,4.8,1060,4.3,75,57999, Black , Macchiato , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
26,2018 Mercedes-Benz C-Class C 300,34344,RBM of Atlanta,4.9,1013,4.8,66,34088, Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
27,2020 Mercedes-Benz GLC 300 Base 4MATIC,11970,Mercedes-Benz of Kansas City,4.7,707,4.8,35,48988, Graphite Gray Metallic , Magma Gray , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
28,2020 Mercedes-Benz GLE 350 Base 4MATIC,46009,"Mercedes-Benz Manhattan, Inc.",4.5,452,4.3,75,49231, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
29,2020 Mercedes-Benz GLE 350 Base 4MATIC,45498,Mercedes-Benz of Sarasota,4.6,1456,4.3,75,54640, Gray Metallic , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
30,2021 Mercedes-Benz GLB 250 Base 4MATIC,17185,Mercedes-Benz of South Charlotte,4.8,1215,4.5,9,43824, Patagonia Red Metallic , Macchiato Beige , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
31,2021 Mercedes-Benz GLC 300 4MATIC Coupe,14350,Mercedes-Benz of Plano,4.6,1536,4.7,16,65000, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
32,2017 Mercedes-Benz C-Class C 300,35300,Mercedes-Benz of Sacramento,4.3,2656,4.7,104,31399, Gray Metallic , Silk Beige , Rear-wheel Drive ,Gasoline ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
33,2021 Mercedes-Benz C-Class C 300 4MATIC,14906,Mercedes-Benz of Westwood,4.5,426,5.0,4,44498, Polar White , Silk Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
34,2019 Mercedes-Benz GLC 350e Base 4MATIC,49403,Mercedes-Benz of San Jose,4.6,665,4.2,11,37317, Polar White , – , All-wheel Drive ,Hybrid ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid
35,2021 Mercedes-Benz C-Class C 300 4MATIC,15371,Mercedes-Benz of Silver Spring,4.8,1645,5.0,4,42900, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
36,2019 Mercedes-Benz GLC 300 Base 4MATIC,19615,Mercedes-Benz of Chicago,4.7,1168,4.6,72,40883, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
37,2019 Mercedes-Benz C-Class C 300 4MATIC,31568,Mercedes-Benz of Pittsburgh,4.5,76,4.8,40,35580, Black , Silk Beige / Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
38,2020 Mercedes-Benz C-Class C 300 4MATIC,15447,Euro Motorcars Devon,4.6,307,4.5,13,42904, Black , Silk Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
39,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,34096,Mercedes-Benz of Silver Spring,4.8,1645,5.0,10,69900, Selenite Gray Metallic , Crystal Gray , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
40,2017 Mercedes-Benz AMG G 63 Base,51015,Mercedes-Benz of Nanuet,4.9,242,4.8,3,115998, designo Magno Night Black , Black , All-wheel Drive ,Gasoline ,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo
41,2019 Mercedes-Benz C-Class C 300,13258,Mercedes-Benz of Fort Lauderdale,4.6,997,4.8,40,35499, Black , – , RWD ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
42,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,45734,Mercedes-Benz of Austin,4.8,1250,5.0,10,65999, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
43,2020 Mercedes-Benz GLC 300 Base 4MATIC,12143,Husker Auto Group,3.6,21,4.8,35,46998, Black , Silk Beige / Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
44,2021 Mercedes-Benz C-Class C 300,16631,Mercedes-Benz of Houston North,4.5,1343,5.0,4,37999, Black , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
45,2020 Mercedes-Benz GLC 300 Base 4MATIC,16399,Mercedes-Benz of Catonsville,4.2,417,4.8,35,46000, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
46,2020 Mercedes-Benz GLC 300 Base 4MATIC,13970,John Sisson Motors,3.3,31,4.8,35,45870, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
47,2020 Mercedes-Benz GLE 350 Base 4MATIC,13866,Mercedes-Benz of Marietta,4.7,473,4.3,75,63441, Black , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
48,2020 Mercedes-Benz GLE 350 Base,23019,Mercedes-Benz of Atlanta Northeast,4.8,1873,4.3,75,61193, Polar White , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
49,2019 Mercedes-Benz GLC 300 Base 4MATIC,38628,Mercedes-Benz of Easton,4.7,670,4.6,72,37876, Blue , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
50,2021 Mercedes-Benz GLB 250 Base 4MATIC,12605,Mercedes-Benz of South Charlotte,4.8,1215,4.5,9,48914, Mountain Gray Metallic , Macchiato Beige , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
51,2019 Mercedes-Benz GLA 250 Base 4MATIC,21811,Mercedes-Benz of Tysons Corner,4.5,842,4.6,33,35495, Mountain Gray Metallic , Black , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
52,2019 Mercedes-Benz C-Class C 300 4MATIC,38309,Mercedes-Benz of Naperville,4.7,649,4.8,40,33977, Black , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
53,2019 Mercedes-Benz C-Class C 300 4MATIC,31110,Mercedes-Benz of Bellevue,4.5,741,4.8,40,36442, Black , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
54,2018 Mercedes-Benz E-Class E 400 4MATIC,48915,Mercedes-Benz of Chantilly,4.6,905,4.8,64,44800, Iridium Silver Metallic , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
55,2021 Mercedes-Benz GLC 300 Base 4MATIC,16539,Mercedes-Benz of Oakland,4.0,64,4.7,16,40986, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
56,2020 Mercedes-Benz GLE 350 Base,14126,Mercedes-Benz of Austin,4.8,1250,4.3,75,58999, Emerald Green , Macchiato , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
57,2019 Mercedes-Benz C-Class C 300 4MATIC,30947,Mercedes-Benz of Chantilly,4.6,905,4.8,40,36400, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
58,2019 Mercedes-Benz GLA 250 Base,20195,Fletcher Jones Motorcars,4.8,5260,4.6,33,32893, Midnight Black , Black , Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
59,2020 Mercedes-Benz GLE 350 Base 4MATIC,21030,Bergstrom Luxury on Victory Lane,4.8,290,4.3,75,59991, Black , Macchiato , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
60,2019 Mercedes-Benz C-Class C 300 4MATIC,11225,Euro Motorcars Devon,4.6,307,4.8,40,39511, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
61,2021 Mercedes-Benz AMG GLE 53 Base,16481,Mercedes-Benz of Ontario,4.9,1971,3.6,16,92983, Polar White , Classic Red , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
62,2020 Mercedes-Benz GLC 300 Base,21675,Mercedes-Benz of McKinney,4.4,320,4.8,35,45698, Iridium Silver Metallic , Gray , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
63,2021 Mercedes-Benz GLB 250 Base,23314,Mercedes-Benz of West Houston,3.7,31,4.5,9,40990, Midnight Black , Black , Front-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
64,2019 Mercedes-Benz GLC 300 Base 4MATIC,24822,Mercedes-Benz of Edison,4.9,3008,4.6,72,39995, Gray Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
65,2021 Mercedes-Benz GLC 300 Base,17151,Mercedes-Benz of Calabasas,4.6,902,4.7,16,42498, Gray , Red , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
66,2019 Mercedes-Benz GLA 250 Base 4MATIC,34086,Mercedes-Benz of Denver,4.5,379,4.6,33,32998, Black , Black , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
67,2021 Mercedes-Benz GLC 300 Base 4MATIC,23095,Mercedes-Benz of North Orlando,4.6,494,4.7,16,48762, Graphite Gray Metallic , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
68,2019 Mercedes-Benz E-Class E 300,24822,Mercedes-Benz of Tysons Corner,4.5,842,4.7,47,45884, Black , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
69,2018 Mercedes-Benz GLE 350 Base,32919,Mercedes-Benz of Fort Lauderdale,4.6,997,4.7,51,39492, Black , – , Rear-wheel Drive ,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
70,2020 Mercedes-Benz C-Class C 300,15455,Mercedes-Benz of Arcadia,4.8,1109,4.5,13,51665, Black , Cranberry Red , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
71,2021 Mercedes-Benz C-Class C 300,18926,Mercedes-Benz of Buckhead,4.6,922,5.0,4,44000, Gray , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
72,2019 Mercedes-Benz C-Class C 300 4MATIC,32895,Mercedes-Benz of Tysons Corner,4.5,842,4.8,40,34884, Steel Gray , Silk , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
73,2021 Mercedes-Benz GLB 250 Base 4MATIC,24722,Mercedes-Benz of Lehigh Valley,4.6,183,4.5,9,42000, Midnight Black , – , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
74,2021 Mercedes-Benz E-Class E 350,18959,Mercedes-Benz of Stevens Creek,4.7,1659,4.7,7,50999, Graphite Gray Metallic , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
75,2022 Mercedes-Benz GLC 300 Base 4MATIC,1897,Mercedes-Benz of Chantilly,4.6,905,3.9,1,49800, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
76,2022 Mercedes-Benz GLC 300 Base 4MATIC,2865,Mercedes-Benz of Chantilly,4.6,905,3.9,1,49600, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
77,2021 Mercedes-Benz GLA 250 Base 4MATIC,18035,Mercedes-Benz of Stevens Creek,4.7,1659,4.9,19,41492, Cosmos Black Metallic , – , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
78,2019 Mercedes-Benz C-Class C 300 4MATIC,33506,Mercedes-Benz of Massapequa,4.8,1724,4.8,40,37895, Black , AMG Cranberry Red , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
79,2021 Mercedes-Benz E-Class E 350,16977,Mercedes-Benz of Stevens Creek,4.7,1659,4.7,7,53937, Cirrus Silver Metallic , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
80,2021 Mercedes-Benz GLC 300 Base 4MATIC,12359,Mercedes-Benz of Austin,4.8,1250,4.7,16,54999, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
81,2021 Mercedes-Benz GLC 300 Base,15041,Mercedes-Benz of Tuscaloosa,4.5,14,4.7,16,48987, Polar White , Silk Beige / Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
82,2020 Mercedes-Benz GLE 350 Base 4MATIC,20208,Mercedes-Benz of Owings Mills,4.9,2113,4.3,75,58900, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
83,2018 Mercedes-Benz GLS 450 Base 4MATIC,36240,Silver Star Motors,4.6,685,4.8,13,50383, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
84,2019 Mercedes-Benz C-Class C 300 4MATIC,14760,Mercedes Benz of Atlantic City,4.6,1090,4.8,40,39556, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
85,2019 Mercedes-Benz C-Class C 300 4MATIC,38957,Mercedes-Benz of Hanover,4.6,390,4.8,40,36900, Graphite Gray Metallic , Magma Grey , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
86,2021 Mercedes-Benz GLB 250 Base 4MATIC,12449,Mercedes-Benz of Springfield,4.9,94,4.5,9,44990, Iridium Silver Metallic , Black , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
87,2019 Mercedes-Benz AMG E 63 S 4MATIC,19351,House of Imports,4.7,1269,5.0,2,99980, Polar White , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
88,2018 Mercedes-Benz C-Class C 300,40032,Mercedes-Benz Of Tampa,4.7,3485,4.8,66,34700, Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
89,2019 Mercedes-Benz C-Class C 300 4MATIC,23851,Mercedes-Benz of Springfield,4.9,94,4.8,40,36940, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
90,2021 Mercedes-Benz GLE 350 Base 4MATIC,19810,Mercedes Benz of Hoffman Estates,4.7,1112,4.8,17,65999, Emerald Green Metallic , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
91,2020 Mercedes-Benz E-Class E 450 4MATIC,19150,Mercedes-Benz of Atlanta Northeast,4.8,1873,5.0,10,61623, Polar White , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
92,2019 Mercedes-Benz C-Class C 300 4MATIC,12202,Mercedes-Benz of Arlington,4.8,2285,4.8,40,37995, Polar White , Silk Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
93,2019 Mercedes-Benz GLS 450 4MATIC,29487,Mercedes-Benz of Westwood,4.5,426,5.0,10,55555, Iridium Silver Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
94,2018 Mercedes-Benz C-Class C 300 4MATIC,18754,Euro Motorcars Inc,4.6,587,4.8,66,39881, Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
95,2021 Mercedes-Benz AMG GLE 53 Base,24792,Mercedes-Benz of Edison,4.9,3008,3.6,16,93989, Selenite Gray , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
96,2020 Mercedes-Benz CLA 250 Base,27589,Mercedes-Benz of Pleasanton,2.5,55,5.0,9,38927, Cosmos Black Metallic , – , Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
97,2020 Mercedes-Benz S-Class S 450,17483,Autobahn Motors,4.7,923,4.9,7,69997, Gray , Beige , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
98,2019 Mercedes-Benz C-Class C 300,23264,Mercedes-Benz of Clearwater,4.5,389,4.8,40,40416, – , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
